rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,4654902550,78.8,-2261100090,-32.7,11588491190,441844,-249138,-36.1,1134080,2222,8848,2026-07-30,2026-08-11 11:42:31
2,0,OLD,20233219,호프,2026-07-15,664607620,11.2,-167354530,-20.1,40839009980,67623,-20269,-23.1,3774742,1026,2954,2026-07-30,2026-08-11 11:42:31
3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,187815260,3.2,-4529040,-2.4,6533701660,20610,-1045,-4.8,648697,690,1067,2026-07-30,2026-08-11 11:42:31
4,0,OLD,20259946,모아나,2026-07-08,110943350,1.9,9949830,9.9,10265950680,11882,780,7,962827,486,707,2026-07-30,2026-08-11 11:42:31
5,0,OLD,20259781,토이 스토리 5,2026-06-17,94315820,1.6,9671600,11.4,29634052740,9967,736,8,2880336,358,435,2026-07-30,2026-08-11 11:42:31
6,0,OLD,20264148,어떻게 해야 했을까?,2026-07-29,39247920,0.7,4232620,12.1,77007220,3913,219,5.9,7999,52,80,2026-07-30,2026-08-11 11:42:31
7,0,OLD,20262902,다윗,2026-07-10,36130800,0.6,2267260,6.7,2324549920,3836,167,4.6,238365,150,166,2026-07-30,2026-08-11 11:42:31
8,0,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,29428220,0.5,7070820,31.6,332169870,3444,922,36.6,37277,238,250,2026-07-30,2026-08-11 11:42:31
9,0,OLD,20242402,눈동자,2026-06-24,26757600,0.5,2587340,10.7,15782631650,2680,192,7.7,1530014,220,261,2026-07-30,2026-08-11 11:42:31
10,1,OLD,20257100,산양들,2026-07-29,9096050,0.2,1267050,16.2,24172050,1118,230,25.9,2827,39,51,2026-07-30,2026-08-11 11:42:31
