rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20233219,호프,2026-07-15,3001077110,65.0,-477756220,-13.7,37260904100,285870,-41695,-12.7,3415670,2245,8010,2026-07-26,2026-08-15 15:57:42
2,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,477803500,10.3,-13743340,-2.8,5746289680,48445,-1067,-2.2,562962,981,2307,2026-07-26,2026-08-15 15:57:42
3,0,OLD,20259946,모아나,2026-07-08,346767280,7.5,-17311400,-4.8,9759780380,34802,-1355,-3.7,909235,860,1607,2026-07-26,2026-08-15 15:57:42
4,0,OLD,20259781,토이 스토리 5,2026-06-17,229075600,5.0,1910670,0.8,29223364760,22487,455,2.1,2837121,622,987,2026-07-26,2026-08-15 15:57:42
5,0,OLD,20262902,다윗,2026-07-10,200143340,4.3,6311670,3.3,2157713180,20815,484,2.4,220351,441,542,2026-07-26,2026-08-15 15:57:42
6,0,OLD,20242402,눈동자,2026-06-24,138652370,3.0,-15738680,-10.2,15595463540,13074,-1460,-10,1511614,521,823,2026-07-26,2026-08-15 15:57:42
7,0,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,57326820,1.2,5720180,11.1,218796310,6242,552,9.7,24404,378,509,2026-07-26,2026-08-15 15:57:42
8,0,OLD,20263530,마티 슈프림,2026-07-01,24763550,0.5,4360850,21.4,1357202080,1877,298,18.9,125307,67,76,2026-07-26,2026-08-15 15:57:42
9,1,OLD,20252402,군체,2026-05-21,11759500,0.3,-4199270,-26.3,62691570140,1131,-316,-21.8,5949981,104,119,2026-07-26,2026-08-15 15:57:42
10,2,OLD,20264027,극장판 도라에몽: 신 진구의 해저비밀성,2026-07-01,9367150,0.2,1441050,18.2,663780000,979,139,16.5,69574,70,80,2026-07-26,2026-08-15 15:57:42
